feature,rank,avg_rank,score_mutual_information,score_random_forest,score_f_statistic,score_variance
acc_x_std,1,4.500000,0.160944,0.041157,697.690177,28915.903367
acc_y_std,2,5.750000,0.160582,0.030213,766.217348,23440.082096
acc_svm_std,3,5.750000,0.160419,0.031688,461.329994,67955.753815
acc_z_std,4,6.750000,0.163091,0.022557,836.733742,10048.718332
acc_svm_mean,5,6.750000,0.158240,0.024180,802.586480,46367.048257
acc_pow_voluntary,6,7.500000,0.160218,0.025784,577.203782,13966.272352
acc_activity_count,7,9.500000,0.140540,0.046548,427.028234,6674.754882
acc_svm_range,8,10.500000,0.155526,0.023836,306.648532,1722.220872
acc_pow_rapid,9,11.750000,0.145849,0.034976,157.255370,2198391.734886
acc_pow_sway,10,13.250000,0.135169,0.015440,268.956511,1647863.890764
st_range,11,13.250000,0.160237,0.044026,184.755410,7.903672
st_std,12,13.500000,0.151404,0.045411,228.836086,10.745642
acc_pow_tremor,13,15.750000,0.126732,0.035218,167.668128,1497459.721671
eda_std,14,17.000000,0.135348,0.022400,188.672927,399.451419
eda_pow_scr,15,19.750000,0.107142,0.025225,73.050422,6168923.323644
acc_y_zcr,16,20.500000,0.151823,0.014608,182.642218,3.349572
eda_scr_amp_mean,17,20.500000,0.134021,0.011064,220.557497,1572.419724
eda_range,18,21.500000,0.136910,0.011374,166.351783,298.153680
eda_max,19,21.750000,0.136193,0.019269,154.650327,11.691080
eda_pow_vlf,20,21.750000,0.121513,0.013424,104.126644,12797849.092270
acc_spec_entropy,21,23.250000,0.152490,0.007188,168.938153,753.148868
eda_scl_mean,22,23.500000,0.132240,0.014556,262.400595,3.203928
acc_x_zcr,23,24.250000,0.132482,0.022677,170.136768,2.600735
eda_mean,24,25.250000,0.130585,0.013444,261.425005,3.190785
eda_scr_rec_time,25,26.000000,0.131545,0.013608,156.598297,9.088152
acc_z_zcr,26,26.250000,0.134185,0.010715,183.744188,4.496400
eda_scr_amp_max,27,31.250000,0.133085,0.005106,132.445359,1458.095862
eda_spec_centroid,28,31.500000,0.157194,0.020101,37.762044,0.697489
acc_svm_sampen,29,32.000000,0.114168,0.014100,65.317593,1.991167
eda_scr_count,30,32.500000,0.145266,0.012599,91.004755,0.878181
ibi_mean,31,32.750000,0.148153,0.011331,26.330825,1.409777
eda_scr_rate,32,34.000000,0.149152,0.009428,91.004825,0.878188
acc_svm_kurt,33,37.000000,0.091296,0.007161,34.816856,99.154383
acc_svm_skew,34,37.750000,0.037475,0.010955,57.186998,19.663192
acc_dom_freq,35,38.500000,0.133978,0.008175,9.003678,7.002337
eda_scr_auc,36,40.250000,0.127125,0.002008,121.625788,862.371548
acc_corr_xy,37,40.750000,0.102716,0.007681,53.655034,1.152839
eda_sampen,38,43.750000,0.134314,0.007426,35.494795,0.634085
bvp_hr_mean,39,44.000000,0.095063,0.007226,42.757994,0.893488
bvp_harm_ratio,40,44.250000,0.063313,0.006807,38.420908,1.613314
bvp_kurt,41,45.500000,0.066507,0.012083,28.360364,0.640851
bvp_skew,42,45.750000,0.086280,0.008707,41.257932,0.635570
ibi_sdnn,43,49.000000,0.060769,0.011225,9.198410,0.775072
eda_scl_delta,44,49.000000,0.082135,0.002877,37.982190,2.858948
ibi_sd2,45,50.500000,0.053683,0.010459,10.354075,0.732077
bvp_pw50,46,50.750000,0.054612,0.010269,2.562308,2.363301
acc_corr_xz,47,52.500000,0.050329,0.004530,13.846197,1.513413
acc_posture_trans,48,52.500000,0.022477,0.006999,24.651320,1.721725
bvp_aug_idx,49,52.500000,0.077926,0.005757,0.058249,34.688754
bvp_sqi,50,53.000000,0.081781,0.006630,3.284227,1.513915
bvp_spec_entropy,51,53.000000,0.071386,0.007924,17.044700,0.524266
bvp_ptt,52,53.750000,0.125695,0.002698,25.295827,0.899654
acc_x_mean,53,54.750000,0.031169,0.003668,10.835737,9.244687
bvp_hr_std,54,56.250000,0.065598,0.007319,1.796587,1.132626
eda_scl_slope,55,57.250000,0.021448,0.004431,6.538290,16.841264
eda_zcr,56,57.250000,0.155204,0.002564,7.478641,0.568519
ibi_sampen,57,57.250000,0.006089,0.003380,24.459838,25.339510
st_delta,58,58.250000,0.039385,0.008028,16.309726,0.469023
acc_corr_yz,59,58.250000,0.030525,0.004442,18.609875,1.071077
eda_skew,60,59.250000,0.025152,0.004775,12.586999,1.117084
st_rate_change,61,59.500000,0.027670,0.006305,5.001803,1.184667
acc_y_mean,62,60.000000,0.031476,0.001756,11.618191,6.438014
acc_z_mean,63,60.500000,0.011048,0.003679,18.612187,1.429868
ibi_rmssd,64,60.750000,0.047658,0.008029,2.972738,0.608378
ibi_sd1_sd2,65,61.000000,0.037354,0.004455,12.976671,0.689675
ibi_sd1,66,61.500000,0.042864,0.009882,2.932011,0.607800
eda_kurt,67,62.000000,0.015403,0.005631,1.063487,26.991825
eda_scr_rise_mean,68,64.000000,0.020342,0.007121,6.576202,0.654444
ibi_vlf,69,64.500000,0.020927,0.003654,9.171332,1.138224
bvp_notch_depth,70,65.500000,0.051026,0.006456,4.290946,0.238269
st_slope,71,67.750000,0.028374,0.002167,5.001771,1.184538
ibi_cv,72,68.250000,0.041686,0.002544,9.403432,0.631475
bvp_f0,73,68.500000,0.095115,0.002130,8.568614,0.148433
ibi_lf,74,69.000000,0.019061,0.004105,4.003168,0.740151
ibi_pnn50,75,70.000000,0.037055,0.006133,1.553918,0.544398
bvp_std,76,70.250000,0.043755,0.003355,6.226036,0.333926
st_mean,77,70.500000,0.049345,0.005114,1.319166,0.288149
ibi_lf_hf,78,71.000000,0.009116,0.002952,6.019325,0.908490
st_acf1,79,72.500000,0.016198,0.003308,1.081123,1.262461
st_max,80,72.750000,0.045484,0.004650,1.269004,0.281363
st_min,81,73.250000,0.052243,0.003508,1.570891,0.284436
bvp_sys_amp_mean,82,73.500000,0.047350,0.002979,3.847207,0.220880
ibi_total_pow,83,73.750000,0.023835,0.002852,2.943005,0.692778
ibi_hf,84,74.000000,0.025444,0.002825,2.133472,0.719353
eda_min,85,75.250000,0.022638,0.003080,4.903798,0.427072
ibi_hfnu,86,75.750000,0.010990,0.004008,3.492777,0.485567
ibi_lfnu,87,76.500000,0.010933,0.003659,3.492777,0.485567
ibi_dfa_alpha1,88,77.250000,0.003300,0.003776,2.870146,0.582535
bvp_mean,89,85.000000,0.000000,0.000427,1.794048,0.518630
st_pow_slow,90,90.750000,0.004533,0.000000,0.000000,0.000000
bvp_resp_mod,91,90.750000,0.006145,0.000000,0.000000,0.000000
st_asymmetry,92,91.500000,0.000000,0.000000,0.000000,0.000000
st_pow_ultra_slow,93,91.750000,0.000000,0.000000,0.000000,0.000000
