feature,rank,avg_rank,score_mutual_information,score_random_forest,score_f_statistic,score_variance
acc_activity_count,1,9.500000,0.310896,0.027892,428.955431,9490.910933
acc_x_std,2,11.250000,0.346084,0.011668,463.118337,51670.475329
acc_svm_std,3,11.500000,0.303418,0.019506,324.959640,179016.657892
acc_pow_voluntary,4,11.500000,0.327634,0.016020,299.130049,51048.632695
acc_y_std,5,12.250000,0.317208,0.014987,490.277516,26576.473334
acc_z_std,6,12.750000,0.336824,0.010565,509.398036,23254.389822
acc_svm_range,7,13.750000,0.303165,0.025168,209.391164,2756.739269
bvp_ptt,8,13.750000,0.356311,0.059500,195.459059,11.826213
acc_pow_rapid,9,14.750000,0.247779,0.023325,291.158256,1057794.739096
acc_pow_tremor,10,16.000000,0.307384,0.012861,173.499459,1498373.939044
acc_svm_mean,11,16.500000,0.337992,0.005835,304.166873,72672.179286
st_std,12,16.750000,0.285072,0.059531,279.361613,15.957154
eda_mean,13,17.000000,0.318556,0.022916,240.929948,28.495948
acc_pow_sway,14,17.750000,0.252785,0.023721,123.219643,1863162.935934
ibi_mean,15,18.000000,0.345692,0.017457,160.363475,16.403147
st_range,16,18.750000,0.295038,0.046881,192.085588,12.779728
eda_scl_mean,17,19.000000,0.324064,0.014795,241.763957,28.815454
bvp_notch_depth,18,19.250000,0.368042,0.015071,160.735111,7.063984
bvp_hr_mean,19,21.000000,0.319694,0.023737,141.140902,3.751546
eda_scr_count,20,22.000000,0.331736,0.061592,105.414321,3.033534
eda_scr_rate,21,22.500000,0.335603,0.052577,105.414321,3.033534
eda_std,22,22.750000,0.263753,0.020305,118.368882,846.432129
bvp_std,23,23.250000,0.275927,0.009284,258.028460,46.083561
acc_z_zcr,24,23.250000,0.310826,0.021159,132.230851,5.373723
acc_y_zcr,25,23.750000,0.329664,0.022841,106.639960,3.887911
bvp_sys_amp_mean,26,27.250000,0.363065,0.006558,127.652242,5.072606
acc_spec_entropy,27,27.500000,0.240733,0.012747,113.089242,1623.500896
eda_max,28,28.000000,0.264745,0.006400,135.777323,144.405768
eda_scr_rec_time,29,28.250000,0.251525,0.012655,118.634644,44.897681
eda_scr_amp_mean,30,30.500000,0.255140,0.005181,130.578669,3771.948763
eda_scr_amp_max,31,31.500000,0.237750,0.008491,61.646534,4300.842053
acc_corr_xy,32,31.500000,0.236532,0.014800,80.919460,31.090505
acc_corr_xz,33,32.250000,0.261971,0.006941,95.304750,36.844071
eda_scr_auc,34,32.750000,0.209396,0.010269,80.979358,2415.597410
acc_x_zcr,35,34.500000,0.290860,0.008363,82.610924,3.645828
eda_spec_centroid,36,36.750000,0.266980,0.023277,35.895959,1.248614
eda_range,37,37.250000,0.259254,0.002664,130.176107,540.608351
bvp_skew,38,37.250000,0.223575,0.017396,53.966163,2.670059
acc_corr_yz,39,37.500000,0.210705,0.013723,24.103086,38.633523
eda_pow_vlf,40,38.500000,0.182340,0.003778,62.279015,29027616.311125
eda_sampen,41,39.250000,0.267734,0.015980,28.192754,1.441990
acc_svm_sampen,42,39.500000,0.243567,0.012327,43.709027,2.642950
eda_pow_scr,43,42.250000,0.162735,0.002754,44.596426,6197350.337826
bvp_pw50,44,46.000000,0.274397,0.003972,49.538471,1.866897
eda_scl_delta,45,46.750000,0.216019,0.006622,29.729784,2.103731
st_max,46,47.500000,0.211201,0.011147,34.697289,0.994503
acc_svm_skew,47,47.500000,0.102667,0.004404,42.547331,65.056361
bvp_kurt,48,47.750000,0.211502,0.004546,43.341299,2.806907
bvp_harm_ratio,49,48.750000,0.181085,0.005977,38.451948,2.312378
eda_kurt,50,50.500000,0.146596,0.005324,21.925503,5.827055
bvp_spec_entropy,51,52.000000,0.192010,0.005819,26.711946,1.630487
acc_dom_freq,52,52.500000,0.131701,0.009327,2.995643,6.571451
acc_svm_kurt,53,53.500000,0.056415,0.003007,26.360573,1002.739814
acc_x_mean,54,53.750000,0.114790,0.004467,7.808495,23.146747
bvp_aug_idx,55,55.000000,0.147345,0.006309,0.961779,8.834704
eda_zcr,56,56.750000,0.276401,0.004384,6.266681,0.629059
eda_skew,57,58.500000,0.065102,0.006089,18.751024,1.450088
ibi_rmssd,58,59.500000,0.203942,0.004131,17.645916,0.832992
st_mean,59,61.750000,0.200203,0.005643,9.647572,0.416950
ibi_sd1,60,62.000000,0.234255,0.002200,17.329822,0.828543
acc_y_mean,61,63.250000,0.107066,0.003588,0.647678,11.662609
acc_posture_trans,62,63.500000,0.042767,0.002213,20.707004,3.643884
st_min,63,64.250000,0.123356,0.008911,4.161980,0.326890
st_delta,64,64.500000,0.153567,0.005625,6.877646,0.358930
bvp_f0,65,64.500000,0.226738,0.001521,34.572872,0.096868
ibi_cv,66,64.750000,0.125844,0.002837,10.789695,0.962999
eda_scl_slope,67,65.250000,0.080468,0.001150,1.670462,42.722126
ibi_pnn50,68,66.750000,0.094422,0.005618,4.730275,0.604898
bvp_sqi,69,67.250000,0.129599,0.001666,20.535926,0.637254
ibi_sdnn,70,68.000000,0.120070,0.000786,13.457892,1.096497
ibi_lf_hf,71,70.500000,0.024059,0.004774,4.035050,0.805738
ibi_sd2,72,70.500000,0.086395,0.000581,10.004517,1.163762
eda_min,73,71.750000,0.068773,0.002024,8.083371,0.751561
st_rate_change,74,71.750000,0.065508,0.003169,0.569415,1.844799
ibi_sd1_sd2,75,71.750000,0.000000,0.005879,2.509255,0.958289
ibi_vlf,76,73.500000,0.021364,0.001268,3.528084,2.518872
ibi_lf,77,73.500000,0.115840,0.001372,6.084173,0.557371
ibi_total_pow,78,73.500000,0.000000,0.004044,3.155503,1.286259
